time,open,high,low,close,volume
2025-10-10 21:37:00+00:00,402.12,402.38,401.26,401.39,0
2025-10-10 21:38:00+00:00,401.36,401.79,400.67,400.73,0
2025-10-10 21:39:00+00:00,400.73,402.6,400.68,402.48,0
2025-10-10 21:40:00+00:00,402.59,403.9,401.91,403.57,0
2025-10-10 21:41:00+00:00,403.9,403.94,403.555,403.94,0
2025-10-10 21:42:00+00:00,403.89,404.47,403.57,404.4,0
2025-10-10 21:43:00+00:00,404.46,404.47,403.7,403.79,0
2025-10-10 21:44:00+00:00,403.86,404.0,403.7,403.945,0
2025-10-10 21:45:00+00:00,403.93,404.0,403.7999,403.98,0
2025-10-10 21:46:00+00:00,403.97,403.98,403.33,403.64,0
2025-10-10 21:47:00+00:00,403.7,403.75,403.5,403.7,0
2025-10-10 21:48:00+00:00,403.7,403.75,403.7,403.7481,0
2025-10-10 21:49:00+00:00,404.5,405.8,404.46,405.8,0
2025-10-10 21:50:00+00:00,405.55,406.5,405.17,406.4999,0
2025-10-10 21:51:00+00:00,406.49,432.5444,380.4042,406.79,0
2025-10-10 21:52:00+00:00,406.78,432.5444,406.3,406.44,0
2025-10-10 21:53:00+00:00,406.39,406.8,406.0098,406.2,0
2025-10-10 21:54:00+00:00,406.06,406.2,381.4454,405.37,0
2025-10-10 21:55:00+00:00,405.37,405.84,405.2,405.3696,0
2025-10-10 21:56:00+00:00,405.28,405.76,405.21,405.4788,0
2025-10-10 21:57:00+00:00,405.48,405.69,405.27,405.65,0
2025-10-10 21:58:00+00:00,405.65,405.89,405.5,405.89,0
2025-10-10 21:59:00+00:00,405.7671,406.0,405.7671,405.95,0
2025-10-10 22:00:00+00:00,406.399,406.4,406.2,406.37,0
2025-10-10 22:01:00+00:00,406.285,406.5,406.2,406.41,0
2025-10-10 22:02:00+00:00,406.305,406.65,406.01,406.31,0
2025-10-10 22:03:00+00:00,406.3,406.51,394.0029,406.5,0
2025-10-10 22:04:00+00:00,406.6,406.85,406.5,406.82,0
2025-10-10 22:05:00+00:00,406.78,406.78,394.0029,406.08,0
2025-10-10 22:06:00+00:00,406.11,406.25,405.79,406.25,0
2025-10-10 22:07:00+00:00,406.04,409.3,391.2652,409.2999,0
2025-10-10 22:08:00+00:00,408.88,410.76,408.75,409.95,0
2025-10-10 22:09:00+00:00,409.99,411.3,409.91,411.3,0
2025-10-10 22:10:00+00:00,411.25,439.4168,411.11,412.3,0
2025-10-10 22:11:00+00:00,412.241,413.45,412.24,413.19,0
2025-10-10 22:12:00+00:00,413.13,413.19,412.0,412.35,0
2025-10-10 22:13:00+00:00,412.22,412.3,411.73,412.05,0
2025-10-10 22:14:00+00:00,412.03,412.25,411.29,411.47,0
2025-10-10 22:15:00+00:00,411.2941,411.73,410.7994,410.7994,0
2025-10-10 22:16:00+00:00,410.7242,411.33,410.4,411.1,0
2025-10-10 22:17:00+00:00,411.08,411.16,410.8,411.1,0
2025-10-10 22:18:00+00:00,411.1,411.33,410.4,410.98,0
2025-10-10 22:19:00+00:00,410.75,410.98,410.0,410.079,0
2025-10-10 22:20:00+00:00,410.0,410.09,409.5,409.7,0
2025-10-10 22:21:00+00:00,409.69,410.5,409.67,410.29,0
2025-10-10 22:22:00+00:00,410.29,411.33,410.2,411.33,0
2025-10-10 22:23:00+00:00,411.33,411.55,411.0,411.5,0
2025-10-10 22:24:00+00:00,411.44,412.2,411.44,411.98,0
2025-10-10 22:25:00+00:00,412.0,412.0,411.39,411.45,0
2025-10-10 22:26:00+00:00,411.5,411.5,410.85,411.15,0
2025-10-10 22:27:00+00:00,411.13,411.3,411.0,411.12,0
2025-10-10 22:28:00+00:00,411.17,411.5,411.06,411.22,0
2025-10-10 22:29:00+00:00,411.38,411.5,411.16,411.34,0
2025-10-10 22:30:00+00:00,411.4,411.92,411.25,411.92,0
2025-10-10 22:31:00+00:00,411.88,412.59,411.88,412.59,0
2025-10-10 22:32:00+00:00,412.42,412.6,412.01,412.22,0
2025-10-10 22:33:00+00:00,412.23,412.25,411.5,411.8,0
2025-10-10 22:34:00+00:00,411.89,411.9,411.42,411.6,0
2025-10-10 22:35:00+00:00,411.555,412.0,411.46,411.7,0
2025-10-10 22:36:00+00:00,411.7,412.0,411.2,411.3412,0
2025-10-10 22:37:00+00:00,411.4,411.5,411.11,411.155,0
2025-10-10 22:38:00+00:00,411.155,411.45,410.6,410.62,0
2025-10-10 22:39:00+00:00,410.7,411.0,410.38,410.6,0
2025-10-10 22:40:00+00:00,410.6,410.62,410.02,410.1988,0
2025-10-10 22:41:00+00:00,410.15,410.3,409.8,409.8991,0
2025-10-10 22:42:00+00:00,409.9,410.0721,409.3,409.365,0
2025-10-10 22:43:00+00:00,409.43,409.43,408.5,408.7,0
2025-10-10 22:44:00+00:00,408.7,409.6,408.35,409.14,0
2025-10-10 22:45:00+00:00,409.14,409.74,409.0,409.19,0
2025-10-10 22:46:00+00:00,409.1893,409.1893,408.52,408.8,0
2025-10-10 22:47:00+00:00,408.99,409.43,408.72,408.91,0
2025-10-10 22:48:00+00:00,408.72,408.99,408.5,408.62,0
2025-10-10 22:49:00+00:00,408.5,409.49,408.5,408.9,0
2025-10-10 22:50:00+00:00,408.9,409.32,408.67,409.26,0
2025-10-10 22:51:00+00:00,409.26,409.75,409.21,409.68,0
2025-10-10 22:52:00+00:00,409.64,409.88,409.41,409.45,0
2025-10-10 22:53:00+00:00,409.56,409.7,409.49,409.68,0
2025-10-10 22:54:00+00:00,409.635,409.7,409.05,409.18,0
2025-10-10 22:55:00+00:00,409.3591,409.4,408.36,408.4989,0
2025-10-10 22:56:00+00:00,408.5,408.69,408.01,408.2001,0
2025-10-10 22:57:00+00:00,408.33,409.2,408.21,409.2,0
2025-10-10 22:58:00+00:00,409.1999,409.2,408.65,408.97,0
2025-10-10 22:59:00+00:00,409.02,409.18,408.71,409.1,0
2025-10-10 23:00:00+00:00,409.1,409.11,408.76,408.9,0
2025-10-10 23:01:00+00:00,409.1,409.1,408.7,408.75,0
2025-10-10 23:02:00+00:00,408.75,408.88,408.22,408.7,0
2025-10-10 23:03:00+00:00,408.7,408.9,408.6,408.8,0
2025-10-10 23:04:00+00:00,408.83,408.9,408.2,408.35,0
2025-10-10 23:05:00+00:00,408.31,408.41,408.04,408.3,0
2025-10-10 23:06:00+00:00,408.3,408.3,407.67,407.81,0
2025-10-10 23:07:00+00:00,407.755,408.0,407.4,407.8,0
2025-10-10 23:08:00+00:00,407.71,408.0,407.68,407.88,0
2025-10-10 23:09:00+00:00,407.77,408.2,407.71,407.76,0
2025-10-10 23:10:00+00:00,407.97,407.99,407.6,407.6,0
2025-10-10 23:11:00+00:00,407.6,407.6,407.2,407.36,0
2025-10-10 23:12:00+00:00,407.37,407.78,407.25,407.53,0
2025-10-10 23:13:00+00:00,407.55,408.2,407.42,408.2,0
2025-10-10 23:14:00+00:00,408.21,408.3,408.1,408.26,0
2025-10-10 23:15:00+00:00,408.28,408.3,408.0,408.07,0
2025-10-10 23:16:00+00:00,408.14,408.25,408.1,408.15,0
2025-10-10 23:17:00+00:00,408.16,408.85,408.1,408.69,0
2025-10-10 23:18:00+00:00,408.7,408.7,408.375,408.55,0
2025-10-10 23:19:00+00:00,408.55,409.1,408.35,408.88,0
2025-10-10 23:20:00+00:00,408.8,408.92,408.6001,408.705,0
2025-10-10 23:21:00+00:00,408.61,408.8,408.55,408.7,0
2025-10-10 23:22:00+00:00,408.75,409.15,408.73,409.0,0
2025-10-10 23:23:00+00:00,408.75,409.12,408.6097,408.8042,0
2025-10-10 23:24:00+00:00,408.9,409.0,408.8167,408.925,0
2025-10-10 23:25:00+00:00,408.9489,409.1,408.7,408.8,0
2025-10-10 23:26:00+00:00,408.8,409.0,408.61,408.75,0
2025-10-10 23:27:00+00:00,408.8,408.96,408.61,408.73,0
2025-10-10 23:28:00+00:00,408.66,409.17,408.61,409.14,0
2025-10-10 23:29:00+00:00,409.19,409.45,409.14,409.33,0
2025-10-10 23:30:00+00:00,409.3,409.7,409.23,409.63,0
2025-10-10 23:31:00+00:00,409.6,409.7,409.21,409.3,0
2025-10-10 23:32:00+00:00,409.43,409.43,408.77,409.1,0
2025-10-10 23:33:00+00:00,409.1,409.27,408.98,409.19,0
2025-10-10 23:34:00+00:00,409.15,409.5,409.02,409.16,0
2025-10-10 23:35:00+00:00,409.3,409.4,409.16,409.4,0
2025-10-10 23:36:00+00:00,409.29,409.85,409.25,409.81,0
2025-10-10 23:37:00+00:00,409.61,411.0,409.32,410.33,0
2025-10-10 23:38:00+00:00,410.585,410.85,410.3,410.75,0
2025-10-10 23:39:00+00:00,410.75,410.88,410.21,410.5,0
2025-10-10 23:40:00+00:00,410.4,411.0,410.18,410.86,0
2025-10-10 23:41:00+00:00,410.78,411.43,410.67,411.34,0
2025-10-10 23:42:00+00:00,411.25,411.7,411.25,411.4966,0
2025-10-10 23:43:00+00:00,411.46,411.7,410.69,410.9,0
2025-10-10 23:44:00+00:00,410.81,411.36,410.0,410.385,0
2025-10-10 23:45:00+00:00,410.44,410.55,409.5,409.61,0
2025-10-10 23:46:00+00:00,409.7,409.98,409.29,409.61,0
2025-10-10 23:47:00+00:00,409.705,410.39,409.55,409.9027,0
2025-10-10 23:48:00+00:00,409.9044,410.29,409.82,409.84,0
2025-10-10 23:49:00+00:00,409.84,409.9863,409.29,409.3,0
2025-10-10 23:50:00+00:00,409.3,409.6,408.6,408.7924,0
2025-10-10 23:51:00+00:00,409.4548,409.4548,408.71,408.95,0
2025-10-10 23:52:00+00:00,408.97,409.0,408.55,408.6,0
2025-10-10 23:53:00+00:00,408.55,408.8,408.5,408.7,0
2025-10-10 23:54:00+00:00,408.7,408.8,408.55,408.79,0
2025-10-10 23:55:00+00:00,408.72,408.79,408.2,408.3,0
2025-10-10 23:56:00+00:00,408.38,408.8,408.3,408.7,0
2025-10-10 23:57:00+00:00,408.75,408.75,408.29,408.4,0
2025-10-10 23:58:00+00:00,408.32,408.5,408.2,408.21,0
2025-10-10 23:59:00+00:00,408.25,408.6,408.0,408.09,0
2025-10-13 08:00:00+00:00,421.33,423.8,421.33,423.4,0
2025-10-13 08:01:00+00:00,423.48,423.5,422.8,423.22,0
2025-10-13 08:02:00+00:00,423.22,423.26,422.69,422.97,0
2025-10-13 08:03:00+00:00,422.9,423.19,422.8,422.99,0
2025-10-13 08:04:00+00:00,423.0,423.87,423.0,423.76,0
2025-10-13 08:05:00+00:00,423.7,423.88,423.4,423.78,0
2025-10-13 08:06:00+00:00,423.77,423.87,423.2,423.34,0
2025-10-13 08:07:00+00:00,423.43,423.74,423.31,423.56,0
2025-10-13 08:08:00+00:00,423.5,423.88,423.5,423.71,0
2025-10-13 08:09:00+00:00,423.68,423.68,423.35,423.55,0
2025-10-13 08:10:00+00:00,423.58,423.65,423.35,423.57,0
2025-10-13 08:11:00+00:00,423.5,423.83,423.5,423.6,0
2025-10-13 08:12:00+00:00,423.59,423.85,423.42,423.7,0
2025-10-13 08:13:00+00:00,423.78,423.83,423.65,423.74,0
2025-10-13 08:14:00+00:00,423.76,423.78,423.64,423.78,0
2025-10-13 08:15:00+00:00,423.75,423.8,423.36,423.69,0
2025-10-13 08:16:00+00:00,423.6,423.71,423.5,423.69,0
2025-10-13 08:17:00+00:00,423.68,423.85,423.5,423.66,0
2025-10-13 08:18:00+00:00,423.66,423.66,423.35,423.42,0
2025-10-13 08:19:00+00:00,423.45,424.15,423.44,424.15,0
2025-10-13 08:20:00+00:00,424.19,424.6,424.19,424.34,0
2025-10-13 08:21:00+00:00,424.24,424.51,424.06,424.47,0
2025-10-13 08:22:00+00:00,424.48,424.54,424.21,424.4,0
2025-10-13 08:23:00+00:00,424.33,424.33,423.85,423.91,0
2025-10-13 08:24:00+00:00,423.83,424.26,423.82,424.13,0
2025-10-13 08:25:00+00:00,424.02,424.46,423.78,423.78,0
2025-10-13 08:26:00+00:00,423.8,423.96,423.7,423.87,0
2025-10-13 08:27:00+00:00,423.88,423.97,423.7,423.9,0
2025-10-13 08:28:00+00:00,423.9,423.9,423.6,423.67,0
2025-10-13 08:29:00+00:00,423.76,423.78,423.44,423.49,0
2025-10-13 08:30:00+00:00,423.49,424.18,423.46,424.18,0
2025-10-13 08:31:00+00:00,424.08,424.1,423.88,424.0,0
2025-10-13 08:32:00+00:00,424.09,424.45,424.06,424.45,0
2025-10-13 08:33:00+00:00,424.4,424.43,424.24,424.26,0
2025-10-13 08:34:00+00:00,424.24,424.44,424.2,424.35,0
2025-10-13 08:35:00+00:00,424.4,424.5,424.18,424.22,0
2025-10-13 08:36:00+00:00,424.3,424.36,423.91,424.0,0
2025-10-13 08:37:00+00:00,424.01,424.05,423.9,423.9,0
2025-10-13 08:38:00+00:00,423.97,424.09,423.9,424.08,0
2025-10-13 08:39:00+00:00,424.13,424.26,424.09,424.21,0
2025-10-13 08:40:00+00:00,424.12,424.16,423.91,424.03,0
2025-10-13 08:41:00+00:00,424.04,424.5,424.04,424.47,0
2025-10-13 08:42:00+00:00,424.46,424.74,424.41,424.56,0
2025-10-13 08:43:00+00:00,424.61,424.61,424.21,424.24,0
2025-10-13 08:44:00+00:00,424.2,424.2,423.9,423.92,0
